Frequency,Robustness,Label
0.7239263803680982,0.09815950920245399,0
0.4166666666666667,0.2976190476190476,0
0.2537313432835821,0.2537313432835821,1
0.10614525139664804,0.10614525139664804,1
0.21895424836601307,0.21568627450980393,1
0.5133928571428571,0.20758928571428573,0
0.396584440227704,0.3548387096774194,0
0.26993865030674846,0.26993865030674846,0
0.4139344262295082,0.3073770491803279,0
0.1810344827586207,0.1810344827586207,1
0.5606060606060606,0.15151515151515152,0
0.08333333333333333,0.08333333333333333,1
0.09047619047619047,0.09047619047619047,1
0.17886178861788618,0.17886178861788618,1
0.2671232876712329,0.2482876712328767,1
