Frequency,Robustness,Label
0.7357142857142858,0.014285714285714285,0
0.5913978494623656,0.12365591397849462,0
0.702054794520548,0.1095890410958904,0
0.7535211267605634,0.08450704225352113,0
0.6148007590132827,0.1461100569259962,0
0.6327868852459017,0.14918032786885246,0
0.5560975609756098,0.1951219512195122,0
0.6004016064257028,0.16265060240963855,0
0.49693251533742333,0.2392638036809816,1
0.15294117647058825,0.15294117647058825,1
0.031746031746031744,0.031746031746031744,1
0.020202020202020204,0.020202020202020204,1
0.02857142857142857,0.02857142857142857,1
0.0072992700729927005,0.0072992700729927005,1
0.13664596273291926,0.13664596273291926,1
0.015873015873015872,0.015873015873015872,1
0.028708133971291867,0.028708133971291867,1
0.10465116279069768,0.10465116279069768,1
0.09090909090909091,0.09090909090909091,1
0.20408163265306123,0.20408163265306123,1
0.24812030075187969,0.24060150375939848,1
0.5908649173955296,0.1652089407191448,0
0.591747146619842,0.16330114135206322,0
0.5854049719326383,0.16760224538893345,0
0.5767575322812052,0.17288378766140602,0
0.5720250521920668,0.17606123869171886,0
0.5514800514800515,0.1891891891891892,0
0.5569080949482653,0.18867924528301888,0
0.5870422535211267,0.1645070422535211,0
0.5781006746237675,0.1717695900363259,0
0.5689235265465173,0.18022406234778374,0
0.5626466447677146,0.18488972313467855,0
0.5666360294117647,0.18106617647058823,0
0.5295883361921098,0.2032590051457976,0
0.5137014314928425,0.2098159509202454,0
0.4940991345397325,0.22029897718332023,0
0.4753974261922786,0.23012869038607117,0
0.4408489909533751,0.24391092553931804,0
0.42276964047936083,0.2519973368841545,0
0.4206451612903226,0.25225806451612903,0
0.0945945945945946,0.0945945945945946,1
0.2925531914893617,0.2375886524822695,0
0.4323962516733601,0.2583668005354752,0
0.3619763694951665,0.280343716433942,0
0.3465447154471545,0.2784552845528455,0
0.32287822878228783,0.27121771217712176,1
0.28746928746928746,0.2538902538902539,1
0.2539797395079595,0.23227206946454415,1
0.22215229704216488,0.20767778477029578,1
0.22182680901542112,0.20462633451957296,1
0.6,0.15294117647058825,0
0.27419354838709675,0.26344086021505375,1
0.16451612903225807,0.16451612903225807,1
0.10909090909090909,0.10909090909090909,1
0.8248175182481752,0.10948905109489052,0
0.2144212523719165,0.2049335863377609,1
0.17043740573152338,0.17043740573152338,1
0.6842105263157895,0.03827751196172249,0
0.8049645390070922,0.0035460992907801418,0
0.11661506707946337,0.11455108359133127,1
0.16345347862531434,0.16093880972338642,1
0.18958333333333333,0.1875,1
0.1756066411238825,0.17369093231162197,1
0.17128874388254486,0.16965742251223492,1
0.15365853658536585,0.1521951219512195,1
0.14457332228666114,0.14374482187241094,1
0.2852233676975945,0.27835051546391754,1
0.16435643564356436,0.16435643564356436,1
0.1204644412191582,0.1204644412191582,1
0.1471291866028708,0.1471291866028708,1
0.12449392712550607,0.12449392712550607,1
0.16906474820143885,0.16906474820143885,1
0.1343817012151537,0.1343817012151537,1
0.13834788448623236,0.13834788448623236,1
0.3183770883054893,0.27971360381861576,0
0.2906318082788671,0.27058823529411763,1
0.27940015785319655,0.265982636148382,1
0.2690551457674745,0.2602739726027397,1
0.14873417721518986,0.14873417721518986,1
0.11964549483013294,0.11964549483013294,1
0.10833333333333334,0.10833333333333334,1
0.0943695479777954,0.0943695479777954,1
0.12473118279569892,0.12473118279569892,1
0.1532567049808429,0.15261813537675606,1
0.19838987924094306,0.19378953421506612,1
0.18380394246137455,0.18060735215769846,1
0.18397626112759644,0.18100890207715134,1
0.17819025522041762,0.17587006960556845,1
0.168971477960242,0.1672428694900605,1
0.7214285714285714,0.007142857142857143,0
0.7938144329896907,0.015463917525773196,0
0.7969348659003831,0.06130268199233716,0
0.7688172043010753,0.06182795698924731,0
0.27474560592044406,0.2488436632747456,1
0.24833887043189368,0.23754152823920266,1
0.22447447447447447,0.21996996996996998,1
0.2205056179775281,0.2148876404494382,1
0.21335078534031413,0.2081151832460733,1
0.20135886349598517,0.19703520691785054,1
0.1783960720130933,0.1762138570649209,1
0.3559322033898305,0.3502824858757062,0
0.4839650145772595,0.21282798833819241,0
0.5267857142857143,0.171875,0
0.37209302325581395,0.25444596443228457,1
0.27348066298342544,0.2550644567219153,1
0.33002129169623845,0.276792051100071,0
0.4002486016159105,0.25854568054692356,0
0.3936285097192225,0.24892008639308855,0
0.42339294345094247,0.24891251812469792,0
0.7225433526011561,0.011560693641618497,0
0.3793859649122807,0.33771929824561403,0
0.2759170653907496,0.2759170653907496,1
0.18676627534685167,0.18676627534685167,1
0.171900826446281,0.17107438016528925,1
0.15861214374225527,0.15737298636926889,1
0.14333333333333334,0.14333333333333334,1
0.5483870967741935,0.22580645161290322,0
0.57307249712313,0.21518987341772153,0
0.48450704225352115,0.2563380281690141,1
0.4120715350223547,0.2719821162444113,1
0.3548387096774194,0.2655086848635236,1
0.004301075268817204,0.004301075268817204,1
0.19626168224299065,0.19626168224299065,1
0.16573348264277715,0.16573348264277715,1
0.29559748427672955,0.2866127583108715,0
0.34418604651162793,0.3054263565891473,0
0.396792189679219,0.2691771269177127,0
0.4032042723631509,0.27303070761014686,0
0.3931203931203931,0.26474201474201475,0
0.39643916913946586,0.2629080118694362,0
0.45857519788918205,0.23377308707124012,0
0.4715447154471545,0.22611788617886178,0
0.4831353919239905,0.233729216152019,0
0.49746660525103636,0.23261169967756795,0
0.48116067561715026,0.24166305760069295,0
0.4800509337860781,0.2427843803056027,0
0.49189627228525123,0.23824959481361427,0
0.011695906432748537,0.011695906432748537,1
0.6683937823834197,0.11398963730569948,0
0.16756756756756758,0.16756756756756758,1
0.03684210526315789,0.03684210526315789,1
0.17592592592592593,0.17592592592592593,1
0.12169312169312169,0.12169312169312169,1
0.06962025316455696,0.06962025316455696,1
0.04216867469879518,0.04216867469879518,1
0.0625,0.0625,1
0.1693548387096774,0.1693548387096774,1
0.20623501199040767,0.20623501199040767,1
0.125,0.125,1
0.13793103448275862,0.13793103448275862,1
0.14594594594594595,0.14594594594594595,1
0.22115384615384615,0.22115384615384615,1
0.0,0.0,1
0.5972222222222222,0.1388888888888889,0
0.7757009345794392,0.009345794392523364,0
0.96,0.1,0
